♥J,♣J,♠8,♦A,♠10,(1) One pair
♥J,♣J,♣8,♠8,♠10,(2) Two pairs
♥J,♣J,♣8,♠8,♥4,(2) Two pairs
♥J,♣J,♣8,♠8,♠2,(2) Two pairs
♦K,♠K,♣J,♣8,♥8,(2) Two pairs
♦K,♠K,♣J,♠8,♥8,(2) Two pairs
♥J,♣J,♣8,♠8,♥3,(2) Two pairs
♥J,♣J,♣8,♠8,♦A,(2) Two pairs
♦K,♠K,♣J,♣4,♥4,(2) Two pairs
♠8,♣4,♥3,♥8,♥4,(2) Two pairs
♦K,♠K,♣8,♠8,♣4,(2) Two pairs
♥J,♣J,♣8,♠8,♠9,(2) Two pairs
♥J,♣J,♣8,♠8,♣4,(2) Two pairs
♥J,♣8,♠8,♣4,♥4,(2) Two pairs
♦K,♠K,♣8,♠8,♠9,(2) Two pairs
♦K,♠K,♣8,♠8,♦A,(2) Two pairs
♦K,♠K,♣8,♣4,♥4,(2) Two pairs
♥J,♠K,♣J,♣8,♥8,(2) Two pairs
♦K,♠K,♣8,♠8,♥3,(2) Two pairs
♠8,♣4,♦A,♥8,♥4,(2) Two pairs
♦K,♠K,♣8,♠8,♠2,(2) Two pairs
♥J,♠K,♣J,♣8,♠8,(2) Two pairs
♥J,♠K,♣J,♣4,♥4,(2) Two pairs
♥J,♠3,♠8,♥3,♥8,(2) Two pairs
♦K,♠K,♣8,♠8,♥4,(2) Two pairs
♦K,♠K,♣8,♠8,♠10,(2) Two pairs
♦K,♠K,♣8,♣4,♥8,(2) Two pairs
♥J,♠3,♣8,♥3,♥8,(2) Two pairs
♥J,♠K,♣J,♠8,♥8,(2) Two pairs
♥J,♠3,♣8,♠8,♥3,(2) Two pairs
♠8,♣4,♠9,♥8,♥4,(2) Two pairs
♦K,♠K,♣8,♠9,♥8,(2) Two pairs
♦K,♠K,♣8,♦A,♥8,(2) Two pairs
♥J,♠3,♣J,♥3,♠10,(2) Two pairs
♥J,♠3,♣J,♥3,♥4,(2) Two pairs
♥J,♠3,♣J,♥3,♠2,(2) Two pairs
♥J,♠3,♣J,♥3,♥8,(2) Two pairs
♥J,♠3,♣J,♦A,♥3,(2) Two pairs
♥J,♠3,♣J,♠9,♥3,(2) Two pairs
♣8,♣4,♠9,♥8,♥4,(2) Two pairs
♥J,♠3,♣J,♣4,♥4,(2) Two pairs
♥J,♠3,♣J,♣4,♥3,(2) Two pairs
♥J,♠3,♣J,♠8,♥8,(2) Two pairs
♥J,♠3,♣J,♠8,♥3,(2) Two pairs
♥J,♠3,♣J,♣8,♥8,(2) Two pairs
♥J,♠3,♣J,♣8,♥3,(2) Two pairs
♣8,♣4,♦A,♥8,♥4,(2) Two pairs
♥J,♠3,♣J,♣8,♠8,(2) Two pairs
♥J,♠3,♠K,♣J,♥3,(2) Two pairs
♦K,♠8,♣4,♥8,♥4,(2) Two pairs
♦K,♣8,♣4,♥8,♥4,(2) Two pairs
♣8,♣4,♥3,♥8,♥4,(2) Two pairs
♦K,♠K,♣8,♥3,♥8,(2) Two pairs
♦K,♠K,♣8,♥8,♥4,(2) Two pairs
♦K,♠K,♠8,♣4,♥8,(2) Two pairs
♣8,♣4,♥8,♠2,♥4,(2) Two pairs
♦K,♠K,♠8,♣4,♥4,(2) Two pairs
♣8,♣4,♥8,♥4,♠10,(2) Two pairs
♦K,♥J,♠3,♠K,♣J,(2) Two pairs
♦K,♠K,♠8,♠9,♥8,(2) Two pairs
♦K,♣8,♠8,♣4,♥4,(2) Two pairs
♦K,♠K,♠8,♦A,♥8,(2) Two pairs
♦K,♠K,♠8,♥3,♥8,(2) Two pairs
♦K,♠K,♣4,♥4,♠10,(2) Two pairs
♦K,♠K,♣4,♠2,♥4,(2) Two pairs
♦K,♠K,♣4,♥8,♥4,(2) Two pairs
♦K,♠K,♣4,♥3,♥4,(2) Two pairs
♦K,♠K,♣4,♦A,♥4,(2) Two pairs
♦K,♠K,♣4,♠9,♥4,(2) Two pairs
♦K,♠K,♠8,♥8,♠10,(2) Two pairs
♦K,♠K,♠8,♥8,♥4,(2) Two pairs
♦K,♠K,♠8,♥8,♠2,(2) Two pairs
♠K,♣8,♠8,♥8,♠2,(3) Three of a kind
♦K,♣8,♠8,♥8,♠2,(3) Three of a kind
♦K,♣8,♠8,♠9,♥8,(3) Three of a kind
♦K,♣8,♠8,♦A,♥8,(3) Three of a kind
♦K,♠3,♣8,♠8,♥8,(3) Three of a kind
♦K,♣8,♠8,♥3,♥8,(3) Three of a kind
♣J,♣8,♠8,♣4,♥8,(3) Three of a kind
♦K,♣8,♠8,♥8,♥4,(3) Three of a kind
♠K,♣8,♠8,♥8,♠10,(3) Three of a kind
♦K,♣8,♠8,♥8,♠10,(3) Three of a kind
♣8,♠8,♥8,♥4,♠10,(3) Three of a kind
♣8,♠8,♥8,♠2,♠10,(3) Three of a kind
♣8,♠8,♥8,♠2,♥4,(3) Three of a kind
♥J,♠3,♣8,♠8,♥8,(3) Three of a kind
♣8,♠8,♥3,♥8,♠10,(3) Three of a kind
♣8,♠8,♥3,♥8,♥4,(3) Three of a kind
♣8,♠8,♥3,♥8,♠2,(3) Three of a kind
♣8,♠8,♦A,♥8,♠10,(3) Three of a kind
♣J,♣8,♠8,♠9,♥8,(3) Three of a kind
♣8,♠8,♦A,♥8,♥4,(3) Three of a kind
♣8,♠8,♦A,♥8,♠2,(3) Three of a kind
♠K,♣J,♣8,♠8,♥8,(3) Three of a kind
♠K,♣8,♠8,♥8,♥4,(3) Three of a kind
♣8,♠8,♠9,♥8,♠10,(3) Three of a kind
♣8,♠8,♠9,♥8,♥4,(3) Three of a kind
♣8,♠8,♠9,♥8,♠2,(3) Three of a kind
♥J,♣8,♠8,♣4,♥8,(3) Three of a kind
♣8,♠8,♠9,♥3,♥8,(3) Three of a kind
♣8,♠8,♠9,♦A,♥8,(3) Three of a kind
♣8,♠8,♣4,♥8,♠10,(3) Three of a kind
♠K,♣8,♠8,♥3,♥8,(3) Three of a kind
♣8,♠8,♣4,♥8,♠2,(3) Three of a kind
♣8,♠8,♣4,♥3,♥8,(3) Three of a kind
♣8,♠8,♣4,♦A,♥8,(3) Three of a kind
♦K,♣J,♣8,♠8,♥8,(3) Three of a kind
♦K,♣8,♠8,♣4,♥8,(3) Three of a kind
♣8,♠8,♣4,♠9,♥8,(3) Three of a kind
♥J,♣8,♠8,♥3,♥8,(3) Three of a kind
♥J,♣8,♠8,♠9,♥8,(3) Three of a kind
♥J,♣8,♠8,♦A,♥8,(3) Three of a kind
♥J,♠K,♣8,♠8,♥8,(3) Three of a kind
♥J,♣8,♠8,♥8,♠2,(3) Three of a kind
♥J,♣8,♠8,♥8,♥4,(3) Three of a kind
♥J,♣8,♠8,♥8,♠10,(3) Three of a kind
♠3,♠K,♣8,♠8,♥8,(3) Three of a kind
♠K,♣8,♠8,♦A,♥8,(3) Three of a kind
♣J,♣8,♠8,♦A,♥8,(3) Three of a kind
♠K,♣8,♠8,♠9,♥8,(3) Three of a kind
♠K,♣8,♠8,♣4,♥8,(3) Three of a kind
♠3,♣J,♣8,♠8,♥8,(3) Three of a kind
♦K,♥J,♣8,♠8,♥8,(3) Three of a kind
♠3,♣8,♠8,♣4,♥8,(3) Three of a kind
♠3,♣8,♠8,♠9,♥8,(3) Three of a kind
♠3,♣8,♠8,♦A,♥8,(3) Three of a kind
♠3,♣8,♠8,♥8,♠2,(3) Three of a kind
♠3,♣8,♠8,♥8,♥4,(3) Three of a kind
♠3,♣8,♠8,♥8,♠10,(3) Three of a kind
♣J,♣8,♠8,♥3,♥8,(3) Three of a kind
♣J,♣8,♠8,♥8,♠10,(3) Three of a kind
♣J,♣8,♠8,♥8,♥4,(3) Three of a kind
♣J,♣8,♠8,♥8,♠2,(3) Three of a kind
♣8,♠8,♦A,♥3,♥8,(3) Three of a kind
♠3,♠8,♠9,♠2,♠10,(5) Flush
♠3,♠K,♠9,♠2,♠10,(5) Flush
♠3,♠K,♠8,♠2,♠10,(5) Flush
♠3,♠K,♠8,♠9,♠10,(5) Flush
♠3,♠K,♠8,♠9,♠2,(5) Flush
♠K,♠8,♠9,♠2,♠10,(5) Flush
♣8,♠8,♣4,♥8,♥4,(6) Full house
♥J,♣J,♣8,♠8,♥8,(6) Full house
♠3,♣8,♠8,♥3,♥8,(6) Full house
♦K,♠K,♣8,♠8,♥8,(6) Full house
