♥A,♣5,♣9,♣3,♦9,(1) One pair
♠7,♦7,♦K,♦3,♠9,(1) One pair
♠7,♦7,♦K,♦3,♠6,(1) One pair
♠7,♦7,♦K,♥10,♦9,(1) One pair
♠7,♦7,♦K,♥10,♠9,(1) One pair
♠7,♦7,♦K,♥10,♠6,(1) One pair
♣5,♥10,♦9,♠9,♠6,(1) One pair
♠7,♦7,♦K,♦9,♠6,(1) One pair
♠7,♦7,♦K,♠9,♠6,(1) One pair
♣5,♦3,♦9,♠9,♠6,(1) One pair
♣5,♦3,♥10,♦9,♠9,(1) One pair
♣5,♥Q,♦9,♠9,♠6,(1) One pair
♣5,♥Q,♥10,♦9,♠9,(1) One pair
♣5,♥Q,♦3,♦9,♠9,(1) One pair
♣5,♣7,♦9,♠9,♠6,(1) One pair
♣5,♣7,♥10,♦9,♠9,(1) One pair
♠7,♦7,♣3,♥Q,♥10,(1) One pair
♠7,♦7,♣3,♥Q,♦9,(1) One pair
♠7,♦7,♣3,♥Q,♠9,(1) One pair
♠7,♦7,♣3,♥Q,♠6,(1) One pair
♣5,♣7,♦3,♦9,♠9,(1) One pair
♣5,♣7,♥Q,♦9,♠9,(1) One pair
♣5,♣3,♦9,♠9,♠6,(1) One pair
♣5,♣3,♥10,♦9,♠9,(1) One pair
♠7,♦7,♣3,♥10,♦9,(1) One pair
♠7,♦7,♣3,♥10,♠9,(1) One pair
♠7,♦7,♣3,♥10,♠6,(1) One pair
♣5,♣3,♦3,♠9,♠6,(1) One pair
♠7,♦7,♣3,♦9,♠6,(1) One pair
♠7,♦7,♣3,♠9,♠6,(1) One pair
♣5,♣3,♦3,♦9,♠6,(1) One pair
♣5,♣3,♦3,♥10,♠6,(1) One pair
♣5,♣3,♦3,♥10,♠9,(1) One pair
♣5,♣3,♦3,♥10,♦9,(1) One pair
♣5,♣3,♥Q,♦9,♠9,(1) One pair
♣5,♣3,♥Q,♦3,♠6,(1) One pair
♣5,♣3,♥Q,♦3,♠9,(1) One pair
♣5,♣3,♥Q,♦3,♦9,(1) One pair
♣5,♣3,♥Q,♦3,♥10,(1) One pair
♣5,♣3,♣7,♦9,♠9,(1) One pair
♣5,♣3,♣7,♦3,♠6,(1) One pair
♣5,♣3,♣7,♦3,♠9,(1) One pair
♣5,♣3,♣7,♦3,♦9,(1) One pair
♣5,♣3,♣7,♦3,♥10,(1) One pair
♣5,♣3,♣7,♥Q,♦3,(1) One pair
♠7,♦7,♥Q,♦3,♥10,(1) One pair
♠7,♦7,♥Q,♦3,♦9,(1) One pair
♠7,♦7,♥Q,♦3,♠9,(1) One pair
♠7,♦7,♥Q,♦3,♠6,(1) One pair
♠7,♦7,♥Q,♥10,♦9,(1) One pair
♠7,♦7,♥Q,♥10,♠9,(1) One pair
♠7,♦7,♥Q,♥10,♠6,(1) One pair
♣5,♦K,♦9,♠9,♠6,(1) One pair
♠7,♦7,♥Q,♦9,♠6,(1) One pair
♠7,♦7,♥Q,♠9,♠6,(1) One pair
♠7,♦7,♦3,♥10,♦9,(1) One pair
♠7,♦7,♦3,♥10,♠9,(1) One pair
♠7,♦7,♦3,♥10,♠6,(1) One pair
♣5,♦K,♥10,♦9,♠9,(1) One pair
♠7,♦7,♦3,♦9,♠6,(1) One pair
♠7,♦7,♦3,♠9,♠6,(1) One pair
♣5,♦K,♦3,♦9,♠9,(1) One pair
♠7,♦7,♥10,♦9,♠6,(1) One pair
♠7,♦7,♥10,♠9,♠6,(1) One pair
♣5,♦K,♥Q,♦9,♠9,(1) One pair
♠7,♦K,♣3,♣7,♥Q,(1) One pair
♣5,♦K,♣7,♦9,♠9,(1) One pair
♠7,♦K,♣3,♣7,♥10,(1) One pair
♠7,♦K,♣3,♣7,♦9,(1) One pair
♠7,♦K,♣3,♣7,♠9,(1) One pair
♠7,♦K,♣3,♣7,♠6,(1) One pair
♠7,♦K,♣3,♥Q,♦3,(1) One pair
♠7,♦K,♣3,♦3,♥10,(1) One pair
♠7,♦K,♣3,♦3,♦9,(1) One pair
♠7,♦K,♣3,♦3,♠9,(1) One pair
♠7,♦K,♣3,♦3,♠6,(1) One pair
♠7,♦K,♣3,♦9,♠9,(1) One pair
♠7,♦K,♣7,♥Q,♦3,(1) One pair
♠7,♦K,♣7,♥Q,♥10,(1) One pair
♠7,♦K,♣7,♥Q,♦9,(1) One pair
♠7,♦K,♣7,♥Q,♠9,(1) One pair
♠7,♦K,♣7,♥Q,♠6,(1) One pair
♠7,♦K,♣7,♦3,♥10,(1) One pair
♠7,♦K,♣7,♦3,♦9,(1) One pair
♠7,♦K,♣7,♦3,♠9,(1) One pair
♠7,♦K,♣7,♦3,♠6,(1) One pair
♠7,♦K,♣7,♥10,♦9,(1) One pair
♠7,♦K,♣7,♥10,♠9,(1) One pair
♠7,♦K,♣7,♥10,♠6,(1) One pair
♣5,♦K,♣3,♦9,♠9,(1) One pair
♠7,♦K,♣7,♦9,♠6,(1) One pair
♠7,♦K,♣7,♠9,♠6,(1) One pair
♠7,♦K,♥Q,♦9,♠9,(1) One pair
♠7,♦K,♦3,♦9,♠9,(1) One pair
♠7,♦K,♥10,♦9,♠9,(1) One pair
♠7,♦K,♦9,♠9,♠6,(1) One pair
♣5,♦K,♣3,♦3,♠6,(1) One pair
♠7,♣3,♣7,♥Q,♥10,(1) One pair
♠7,♣3,♣7,♥Q,♦9,(1) One pair
♠7,♣3,♣7,♥Q,♠9,(1) One pair
♠7,♣3,♣7,♥Q,♠6,(1) One pair
♣5,♦K,♣3,♦3,♠9,(1) One pair
♣5,♦K,♣3,♦3,♦9,(1) One pair
♣5,♦K,♣3,♦3,♥10,(1) One pair
♣5,♦K,♣3,♥Q,♦3,(1) One pair
♠7,♣3,♣7,♥10,♦9,(1) One pair
♠7,♣3,♣7,♥10,♠9,(1) One pair
♠7,♣3,♣7,♥10,♠6,(1) One pair
♣5,♦K,♣3,♣7,♦3,(1) One pair
♠7,♣3,♣7,♦9,♠6,(1) One pair
♠7,♣3,♣7,♠9,♠6,(1) One pair
♠7,♣3,♥Q,♦3,♥10,(1) One pair
♠7,♣3,♥Q,♦3,♦9,(1) One pair
♠7,♣3,♥Q,♦3,♠9,(1) One pair
♠7,♣3,♥Q,♦3,♠6,(1) One pair
♠7,♣3,♥Q,♦9,♠9,(1) One pair
♠7,♣3,♦3,♥10,♦9,(1) One pair
♠7,♣3,♦3,♥10,♠9,(1) One pair
♠7,♣3,♦3,♥10,♠6,(1) One pair
♣5,♦7,♦9,♠9,♠6,(1) One pair
♠7,♣3,♦3,♦9,♠6,(1) One pair
♠7,♣3,♦3,♠9,♠6,(1) One pair
♠7,♣3,♥10,♦9,♠9,(1) One pair
♠7,♣3,♦9,♠9,♠6,(1) One pair
♠7,♣7,♥Q,♦3,♥10,(1) One pair
♠7,♣7,♥Q,♦3,♦9,(1) One pair
♠7,♣7,♥Q,♦3,♠9,(1) One pair
♠7,♣7,♥Q,♦3,♠6,(1) One pair
♠7,♣7,♥Q,♥10,♦9,(1) One pair
♠7,♣7,♥Q,♥10,♠9,(1) One pair
♠7,♣7,♥Q,♥10,♠6,(1) One pair
♣5,♦7,♥10,♦9,♠9,(1) One pair
♠7,♣7,♥Q,♦9,♠6,(1) One pair
♠7,♣7,♥Q,♠9,♠6,(1) One pair
♠7,♣7,♦3,♥10,♦9,(1) One pair
♠7,♣7,♦3,♥10,♠9,(1) One pair
♠7,♣7,♦3,♥10,♠6,(1) One pair
♣5,♦7,♦3,♦9,♠9,(1) One pair
♠7,♣7,♦3,♦9,♠6,(1) One pair
♠7,♣7,♦3,♠9,♠6,(1) One pair
♣5,♦7,♥Q,♦9,♠9,(1) One pair
♠7,♣7,♥10,♦9,♠6,(1) One pair
♠7,♣7,♥10,♠9,♠6,(1) One pair
♣5,♦7,♣7,♠9,♠6,(1) One pair
♠7,♥Q,♦3,♦9,♠9,(1) One pair
♠7,♥Q,♥10,♦9,♠9,(1) One pair
♠7,♥Q,♦9,♠9,♠6,(1) One pair
♠7,♦3,♥10,♦9,♠9,(1) One pair
♠7,♦3,♦9,♠9,♠6,(1) One pair
♠7,♥10,♦9,♠9,♠6,(1) One pair
♥J,♣5,♣9,♦7,♣7,(1) One pair
♥J,♣5,♣9,♦7,♦9,(1) One pair
♥J,♣5,♣9,♦7,♠9,(1) One pair
♥J,♣5,♣9,♦K,♦9,(1) One pair
♥J,♣5,♣9,♦K,♠9,(1) One pair
♥J,♣5,♣9,♣3,♦3,(1) One pair
♥J,♣5,♣9,♣3,♦9,(1) One pair
♥J,♣5,♣9,♣3,♠9,(1) One pair
♥J,♣5,♣9,♣7,♦9,(1) One pair
♥J,♣5,♣9,♣7,♠9,(1) One pair
♥J,♣5,♣9,♥Q,♦9,(1) One pair
♥J,♣5,♣9,♥Q,♠9,(1) One pair
♥J,♣5,♣9,♦3,♦9,(1) One pair
♥J,♣5,♣9,♦3,♠9,(1) One pair
♥J,♣5,♣9,♥10,♦9,(1) One pair
♥J,♣5,♣9,♥10,♠9,(1) One pair
♣5,♦7,♣7,♦9,♠6,(1) One pair
♥J,♣5,♣9,♦9,♠6,(1) One pair
♥J,♣5,♣9,♠9,♠6,(1) One pair
♥J,♣5,♦7,♦K,♣7,(1) One pair
♥J,♣5,♦7,♣3,♣7,(1) One pair
♥J,♣5,♦7,♣3,♦3,(1) One pair
♥J,♣5,♦7,♣7,♥Q,(1) One pair
♥J,♣5,♦7,♣7,♦3,(1) One pair
♥J,♣5,♦7,♣7,♥10,(1) One pair
♥J,♣5,♦7,♣7,♦9,(1) One pair
♥J,♣5,♦7,♣7,♠9,(1) One pair
♥J,♣5,♦7,♣7,♠6,(1) One pair
♥J,♣5,♦7,♦9,♠9,(1) One pair
♥J,♣5,♦K,♣3,♦3,(1) One pair
♥J,♣5,♦K,♦9,♠9,(1) One pair
♥J,♣5,♣3,♣7,♦3,(1) One pair
♥J,♣5,♣3,♥Q,♦3,(1) One pair
♥J,♣5,♣3,♦3,♥10,(1) One pair
♥J,♣5,♣3,♦3,♦9,(1) One pair
♥J,♣5,♣3,♦3,♠9,(1) One pair
♥J,♣5,♣3,♦3,♠6,(1) One pair
♥J,♣5,♣3,♦9,♠9,(1) One pair
♥J,♣5,♣7,♦9,♠9,(1) One pair
♥J,♣5,♥Q,♦9,♠9,(1) One pair
♥J,♣5,♦3,♦9,♠9,(1) One pair
♥J,♣5,♥10,♦9,♠9,(1) One pair
♥J,♣5,♦9,♠9,♠6,(1) One pair
♥J,♣9,♦7,♦K,♣7,(1) One pair
♥J,♣9,♦7,♦K,♦9,(1) One pair
♥J,♣9,♦7,♦K,♠9,(1) One pair
♥J,♣9,♦7,♣3,♣7,(1) One pair
♥J,♣9,♦7,♣3,♦3,(1) One pair
♥J,♣9,♦7,♣3,♦9,(1) One pair
♥J,♣9,♦7,♣3,♠9,(1) One pair
♥J,♣9,♦7,♣7,♥Q,(1) One pair
♥J,♣9,♦7,♣7,♦3,(1) One pair
♥J,♣9,♦7,♣7,♥10,(1) One pair
♣5,♦7,♣7,♥10,♠6,(1) One pair
♣5,♦7,♣7,♥10,♠9,(1) One pair
♥J,♣9,♦7,♣7,♠6,(1) One pair
♥J,♣9,♦7,♥Q,♦9,(1) One pair
♥J,♣9,♦7,♥Q,♠9,(1) One pair
♥J,♣9,♦7,♦3,♦9,(1) One pair
♥J,♣9,♦7,♦3,♠9,(1) One pair
♥J,♣9,♦7,♥10,♦9,(1) One pair
♥J,♣9,♦7,♥10,♠9,(1) One pair
♣5,♦7,♣7,♥10,♦9,(1) One pair
♥J,♣9,♦7,♦9,♠6,(1) One pair
♥J,♣9,♦7,♠9,♠6,(1) One pair
♥J,♣9,♦K,♣3,♦3,(1) One pair
♥J,♣9,♦K,♣3,♦9,(1) One pair
♥J,♣9,♦K,♣3,♠9,(1) One pair
♥J,♣9,♦K,♣7,♦9,(1) One pair
♥J,♣9,♦K,♣7,♠9,(1) One pair
♣5,♦7,♣7,♦3,♠6,(1) One pair
♥J,♣9,♦K,♥Q,♦9,(1) One pair
♥J,♣9,♦K,♥Q,♠9,(1) One pair
♥J,♣9,♦K,♦3,♦9,(1) One pair
♥J,♣9,♦K,♦3,♠9,(1) One pair
♥J,♣9,♦K,♥10,♦9,(1) One pair
♥J,♣9,♦K,♥10,♠9,(1) One pair
♣5,♦7,♣7,♦3,♠9,(1) One pair
♥J,♣9,♦K,♦9,♠6,(1) One pair
♥J,♣9,♦K,♠9,♠6,(1) One pair
♥J,♣9,♣3,♣7,♦3,(1) One pair
♥J,♣9,♣3,♣7,♦9,(1) One pair
♥J,♣9,♣3,♣7,♠9,(1) One pair
♥J,♣9,♣3,♥Q,♦3,(1) One pair
♥J,♣9,♣3,♥Q,♦9,(1) One pair
♥J,♣9,♣3,♥Q,♠9,(1) One pair
♥J,♣9,♣3,♦3,♥10,(1) One pair
♣5,♦7,♣7,♦3,♦9,(1) One pair
♣5,♦7,♣7,♦3,♥10,(1) One pair
♥J,♣9,♣3,♦3,♠6,(1) One pair
♥J,♣9,♣3,♥10,♦9,(1) One pair
♥J,♣9,♣3,♥10,♠9,(1) One pair
♣5,♦7,♣7,♥Q,♠6,(1) One pair
♥J,♣9,♣3,♦9,♠6,(1) One pair
♥J,♣9,♣3,♠9,♠6,(1) One pair
♥J,♣9,♣7,♥Q,♦9,(1) One pair
♥J,♣9,♣7,♥Q,♠9,(1) One pair
♥J,♣9,♣7,♦3,♦9,(1) One pair
♥J,♣9,♣7,♦3,♠9,(1) One pair
♥J,♣9,♣7,♥10,♦9,(1) One pair
♥J,♣9,♣7,♥10,♠9,(1) One pair
♣5,♦7,♣7,♥Q,♠9,(1) One pair
♥J,♣9,♣7,♦9,♠6,(1) One pair
♥J,♣9,♣7,♠9,♠6,(1) One pair
♥J,♣9,♥Q,♦3,♦9,(1) One pair
♥J,♣9,♥Q,♦3,♠9,(1) One pair
♥J,♣9,♥Q,♥10,♦9,(1) One pair
♥J,♣9,♥Q,♥10,♠9,(1) One pair
♣5,♦7,♣7,♥Q,♦9,(1) One pair
♥J,♣9,♥Q,♦9,♠6,(1) One pair
♥J,♣9,♥Q,♠9,♠6,(1) One pair
♥J,♣9,♦3,♥10,♦9,(1) One pair
♥J,♣9,♦3,♥10,♠9,(1) One pair
♣5,♦7,♣7,♥Q,♥10,(1) One pair
♥J,♣9,♦3,♦9,♠6,(1) One pair
♥J,♣9,♦3,♠9,♠6,(1) One pair
♣5,♦7,♣7,♥Q,♦3,(1) One pair
♥J,♣9,♥10,♦9,♠6,(1) One pair
♥J,♣9,♥10,♠9,♠6,(1) One pair
♣5,♦7,♣3,♦9,♠9,(1) One pair
♥J,♦7,♦K,♣3,♣7,(1) One pair
♥J,♦7,♦K,♣3,♦3,(1) One pair
♥J,♦7,♦K,♣7,♥Q,(1) One pair
♥J,♦7,♦K,♣7,♦3,(1) One pair
♥J,♦7,♦K,♣7,♥10,(1) One pair
♥J,♦7,♦K,♣7,♦9,(1) One pair
♥J,♦7,♦K,♣7,♠9,(1) One pair
♥J,♦7,♦K,♣7,♠6,(1) One pair
♥J,♦7,♦K,♦9,♠9,(1) One pair
♥J,♦7,♣3,♣7,♥Q,(1) One pair
♣5,♦7,♣3,♦3,♠6,(1) One pair
♥J,♦7,♣3,♣7,♥10,(1) One pair
♥J,♦7,♣3,♣7,♦9,(1) One pair
♥J,♦7,♣3,♣7,♠9,(1) One pair
♥J,♦7,♣3,♣7,♠6,(1) One pair
♥J,♦7,♣3,♥Q,♦3,(1) One pair
♥J,♦7,♣3,♦3,♥10,(1) One pair
♥J,♦7,♣3,♦3,♦9,(1) One pair
♥J,♦7,♣3,♦3,♠9,(1) One pair
♥J,♦7,♣3,♦3,♠6,(1) One pair
♥J,♦7,♣3,♦9,♠9,(1) One pair
♥J,♦7,♣7,♥Q,♦3,(1) One pair
♥J,♦7,♣7,♥Q,♥10,(1) One pair
♥J,♦7,♣7,♥Q,♦9,(1) One pair
♥J,♦7,♣7,♥Q,♠9,(1) One pair
♥J,♦7,♣7,♥Q,♠6,(1) One pair
♥J,♦7,♣7,♦3,♥10,(1) One pair
♥J,♦7,♣7,♦3,♦9,(1) One pair
♥J,♦7,♣7,♦3,♠9,(1) One pair
♥J,♦7,♣7,♦3,♠6,(1) One pair
♥J,♦7,♣7,♥10,♦9,(1) One pair
♥J,♦7,♣7,♥10,♠9,(1) One pair
♥J,♦7,♣7,♥10,♠6,(1) One pair
♣5,♦7,♣3,♦3,♠9,(1) One pair
♥J,♦7,♣7,♦9,♠6,(1) One pair
♥J,♦7,♣7,♠9,♠6,(1) One pair
♥J,♦7,♥Q,♦9,♠9,(1) One pair
♥J,♦7,♦3,♦9,♠9,(1) One pair
♥J,♦7,♥10,♦9,♠9,(1) One pair
♥J,♦7,♦9,♠9,♠6,(1) One pair
♥J,♦K,♣3,♣7,♦3,(1) One pair
♥J,♦K,♣3,♥Q,♦3,(1) One pair
♥J,♦K,♣3,♦3,♥10,(1) One pair
♥J,♦K,♣3,♦3,♦9,(1) One pair
♥J,♦K,♣3,♦3,♠9,(1) One pair
♥J,♦K,♣3,♦3,♠6,(1) One pair
♥J,♦K,♣3,♦9,♠9,(1) One pair
♥J,♦K,♣7,♦9,♠9,(1) One pair
♣5,♦7,♣3,♦3,♦9,(1) One pair
♣5,♦7,♣3,♦3,♥10,(1) One pair
♥J,♦K,♥Q,♦9,♠9,(1) One pair
♥J,♦K,♦3,♦9,♠9,(1) One pair
♥J,♦K,♥10,♦9,♠9,(1) One pair
♥J,♦K,♦9,♠9,♠6,(1) One pair
♥J,♣3,♣7,♥Q,♦3,(1) One pair
♥A,♣5,♣9,♣3,♠9,(1) One pair
♥J,♣3,♣7,♦3,♦9,(1) One pair
♥J,♣3,♣7,♦3,♠9,(1) One pair
♥J,♣3,♣7,♦3,♠6,(1) One pair
♥J,♣3,♣7,♦9,♠9,(1) One pair
♥J,♣3,♥Q,♦3,♥10,(1) One pair
♥J,♣3,♥Q,♦3,♦9,(1) One pair
♥J,♣3,♥Q,♦3,♠9,(1) One pair
♥J,♣3,♥Q,♦3,♠6,(1) One pair
♥J,♣3,♥Q,♦9,♠9,(1) One pair
♥J,♣3,♦3,♥10,♦9,(1) One pair
♥J,♣3,♦3,♥10,♠9,(1) One pair
♥J,♣3,♦3,♥10,♠6,(1) One pair
♣5,♦7,♣3,♥Q,♦3,(1) One pair
♥J,♣3,♦3,♦9,♠6,(1) One pair
♥J,♣3,♦3,♠9,♠6,(1) One pair
♥J,♣3,♥10,♦9,♠9,(1) One pair
♥J,♣3,♦9,♠9,♠6,(1) One pair
♥J,♣7,♥Q,♦9,♠9,(1) One pair
♥J,♣7,♦3,♦9,♠9,(1) One pair
♥J,♣7,♥10,♦9,♠9,(1) One pair
♥J,♣7,♦9,♠9,♠6,(1) One pair
♥J,♥Q,♦3,♦9,♠9,(1) One pair
♥J,♥Q,♥10,♦9,♠9,(1) One pair
♥J,♥Q,♦9,♠9,♠6,(1) One pair
♥J,♦3,♥10,♦9,♠9,(1) One pair
♥J,♦3,♦9,♠9,♠6,(1) One pair
♥J,♥10,♦9,♠9,♠6,(1) One pair
♣5,♣9,♦7,♦K,♣7,(1) One pair
♣5,♣9,♦7,♦K,♦9,(1) One pair
♣5,♣9,♦7,♦K,♠9,(1) One pair
♣5,♣9,♦7,♣3,♣7,(1) One pair
♣5,♣9,♦7,♣3,♦3,(1) One pair
♣5,♣9,♦7,♣3,♦9,(1) One pair
♣5,♣9,♦7,♣3,♠9,(1) One pair
♣5,♣9,♦7,♣7,♥Q,(1) One pair
♣5,♣9,♦7,♣7,♦3,(1) One pair
♣5,♣9,♦7,♣7,♥10,(1) One pair
♣5,♦7,♣3,♣7,♠6,(1) One pair
♣5,♦7,♣3,♣7,♠9,(1) One pair
♣5,♣9,♦7,♣7,♠6,(1) One pair
♣5,♣9,♦7,♥Q,♦9,(1) One pair
♣5,♣9,♦7,♥Q,♠9,(1) One pair
♣5,♣9,♦7,♦3,♦9,(1) One pair
♣5,♣9,♦7,♦3,♠9,(1) One pair
♣5,♣9,♦7,♥10,♦9,(1) One pair
♣5,♣9,♦7,♥10,♠9,(1) One pair
♣5,♦7,♣3,♣7,♦9,(1) One pair
♣5,♣9,♦7,♦9,♠6,(1) One pair
♣5,♣9,♦7,♠9,♠6,(1) One pair
♣5,♣9,♦K,♣3,♦3,(1) One pair
♣5,♣9,♦K,♣3,♦9,(1) One pair
♣5,♣9,♦K,♣3,♠9,(1) One pair
♣5,♣9,♦K,♣7,♦9,(1) One pair
♣5,♣9,♦K,♣7,♠9,(1) One pair
♣5,♣9,♦K,♥Q,♦9,(1) One pair
♣5,♣9,♦K,♥Q,♠9,(1) One pair
♣5,♣9,♦K,♦3,♦9,(1) One pair
♣5,♣9,♦K,♦3,♠9,(1) One pair
♣5,♣9,♦K,♥10,♦9,(1) One pair
♣5,♣9,♦K,♥10,♠9,(1) One pair
♣5,♦7,♣3,♣7,♥10,(1) One pair
♣5,♣9,♦K,♦9,♠6,(1) One pair
♣5,♣9,♦K,♠9,♠6,(1) One pair
♣5,♣9,♣3,♣7,♦3,(1) One pair
♣5,♣9,♣3,♣7,♦9,(1) One pair
♣5,♣9,♣3,♣7,♠9,(1) One pair
♣5,♣9,♣3,♥Q,♦3,(1) One pair
♣5,♣9,♣3,♥Q,♦9,(1) One pair
♣5,♣9,♣3,♥Q,♠9,(1) One pair
♣5,♣9,♣3,♦3,♥10,(1) One pair
♣5,♦7,♣3,♣7,♥Q,(1) One pair
♣5,♦7,♦K,♦9,♠9,(1) One pair
♣5,♣9,♣3,♦3,♠6,(1) One pair
♣5,♣9,♣3,♥10,♦9,(1) One pair
♣5,♣9,♣3,♥10,♠9,(1) One pair
♣5,♦7,♦K,♣7,♠6,(1) One pair
♣5,♣9,♣3,♦9,♠6,(1) One pair
♣5,♣9,♣3,♠9,♠6,(1) One pair
♣5,♣9,♣7,♥Q,♦9,(1) One pair
♣5,♣9,♣7,♥Q,♠9,(1) One pair
♣5,♣9,♣7,♦3,♦9,(1) One pair
♣5,♣9,♣7,♦3,♠9,(1) One pair
♣5,♣9,♣7,♥10,♦9,(1) One pair
♣5,♣9,♣7,♥10,♠9,(1) One pair
♣5,♦7,♦K,♣7,♠9,(1) One pair
♣5,♣9,♣7,♦9,♠6,(1) One pair
♣5,♣9,♣7,♠9,♠6,(1) One pair
♣5,♣9,♥Q,♦3,♦9,(1) One pair
♣5,♣9,♥Q,♦3,♠9,(1) One pair
♣5,♣9,♥Q,♥10,♦9,(1) One pair
♣5,♣9,♥Q,♥10,♠9,(1) One pair
♣5,♦7,♦K,♣7,♦9,(1) One pair
♣5,♣9,♥Q,♦9,♠6,(1) One pair
♣5,♣9,♥Q,♠9,♠6,(1) One pair
♣5,♣9,♦3,♥10,♦9,(1) One pair
♣5,♣9,♦3,♥10,♠9,(1) One pair
♣5,♦7,♦K,♣7,♥10,(1) One pair
♣5,♣9,♦3,♦9,♠6,(1) One pair
♣5,♣9,♦3,♠9,♠6,(1) One pair
♣5,♦7,♦K,♣7,♦3,(1) One pair
♣5,♣9,♥10,♦9,♠6,(1) One pair
♣5,♣9,♥10,♠9,♠6,(1) One pair
♣5,♦7,♦K,♣7,♥Q,(1) One pair
♣5,♦7,♦K,♣3,♣7,(1) One pair
♣10,♣9,♣3,♥10,♦9,(2) Two pairs
♠7,♥J,♣9,♦7,♦9,(2) Two pairs
♣5,♣9,♣3,♦3,♦9,(2) Two pairs
♣5,♦7,♣3,♣7,♦3,(2) Two pairs
♣5,♣9,♦7,♣7,♠9,(2) Two pairs
♣5,♣9,♦7,♣7,♦9,(2) Two pairs
♣10,♥A,♠7,♦7,♥10,(2) Two pairs
♣10,♥A,♠7,♣7,♥10,(2) Two pairs
♣10,♥A,♣9,♥10,♦9,(2) Two pairs
♣10,♥A,♣9,♥10,♠9,(2) Two pairs
♣10,♥A,♦7,♣7,♥10,(2) Two pairs
♣10,♥A,♣3,♦3,♥10,(2) Two pairs
♥J,♣3,♦3,♦9,♠9,(2) Two pairs
♣10,♥A,♥10,♦9,♠9,(2) Two pairs
♣3,♦3,♦9,♠9,♠6,(2) Two pairs
♣10,♠7,♥J,♦7,♥10,(2) Two pairs
♣10,♠7,♥J,♣7,♥10,(2) Two pairs
♥J,♦7,♣7,♦9,♠9,(2) Two pairs
♥J,♦7,♣3,♣7,♦3,(2) Two pairs
♣3,♦3,♥10,♦9,♠9,(2) Two pairs
♣10,♠7,♣5,♦7,♥10,(2) Two pairs
♣10,♠7,♣5,♣7,♥10,(2) Two pairs
♣3,♥Q,♦3,♦9,♠9,(2) Two pairs
♣10,♠7,♣9,♦7,♥10,(2) Two pairs
♣10,♠7,♣9,♦7,♦9,(2) Two pairs
♥J,♣9,♣3,♦3,♠9,(2) Two pairs
♥J,♣9,♣3,♦3,♦9,(2) Two pairs
♣10,♠7,♣9,♦7,♠9,(2) Two pairs
♣10,♠7,♣9,♣7,♥10,(2) Two pairs
♣10,♠7,♣9,♣7,♦9,(2) Two pairs
♥J,♣9,♦7,♣7,♠9,(2) Two pairs
♥J,♣9,♦7,♣7,♦9,(2) Two pairs
♣5,♦7,♣7,♦9,♠9,(2) Two pairs
♣10,♠7,♣9,♣7,♠9,(2) Two pairs
♠7,♣7,♦9,♠9,♠6,(2) Two pairs
♠7,♣7,♥10,♦9,♠9,(2) Two pairs
♠7,♣7,♦3,♦9,♠9,(2) Two pairs
♠7,♣7,♥Q,♦9,♠9,(2) Two pairs
♠7,♣3,♦3,♦9,♠9,(2) Two pairs
♠7,♣3,♣7,♦9,♠9,(2) Two pairs
♠7,♣3,♣7,♦3,♠6,(2) Two pairs
♠7,♣3,♣7,♦3,♠9,(2) Two pairs
♠7,♣3,♣7,♦3,♦9,(2) Two pairs
♠7,♣3,♣7,♦3,♥10,(2) Two pairs
♠7,♣3,♣7,♥Q,♦3,(2) Two pairs
♠7,♦K,♣7,♦9,♠9,(2) Two pairs
♠7,♦K,♣3,♣7,♦3,(2) Two pairs
♠7,♦7,♦9,♠9,♠6,(2) Two pairs
♠7,♦7,♥10,♦9,♠9,(2) Two pairs
♠7,♦7,♦3,♦9,♠9,(2) Two pairs
♠7,♦7,♥Q,♦9,♠9,(2) Two pairs
♣10,♠7,♣9,♥10,♦9,(2) Two pairs
♣3,♣7,♦3,♦9,♠9,(2) Two pairs
♣10,♠7,♣9,♥10,♠9,(2) Two pairs
♣10,♠7,♦7,♦K,♥10,(2) Two pairs
♣10,♠7,♦7,♣3,♦3,(2) Two pairs
♣10,♠7,♦7,♣3,♥10,(2) Two pairs
♣10,♠7,♦7,♥Q,♥10,(2) Two pairs
♣10,♠7,♦7,♦3,♥10,(2) Two pairs
♣10,♠7,♦7,♥10,♦9,(2) Two pairs
♣10,♠7,♦7,♥10,♠9,(2) Two pairs
♣10,♠7,♦7,♥10,♠6,(2) Two pairs
♣10,♠7,♦7,♦9,♠9,(2) Two pairs
♣10,♠7,♦K,♣7,♥10,(2) Two pairs
♣10,♠7,♣3,♣7,♦3,(2) Two pairs
♣5,♣3,♦3,♦9,♠9,(2) Two pairs
♣10,♠7,♣3,♣7,♥10,(2) Two pairs
♠7,♦7,♣3,♦9,♠9,(2) Two pairs
♠7,♦7,♣3,♦3,♠6,(2) Two pairs
♠7,♦7,♣3,♦3,♠9,(2) Two pairs
♠7,♦7,♣3,♦3,♦9,(2) Two pairs
♠7,♦7,♣3,♦3,♥10,(2) Two pairs
♠7,♦7,♣3,♥Q,♦3,(2) Two pairs
♦K,♣3,♦3,♦9,♠9,(2) Two pairs
♣10,♠7,♣3,♦3,♥10,(2) Two pairs
♣10,♠7,♣7,♥Q,♥10,(2) Two pairs
♣10,♠7,♣7,♦3,♥10,(2) Two pairs
♣10,♠7,♣7,♥10,♦9,(2) Two pairs
